Time ,Sample,Type
00:00.1,18,N
00:00.2,77,N
00:01.0,370,N
00:01.8,662,N
00:02.6,946,N
00:03.4,1231,N
00:04.2,1515,N
00:05.0,1809,N
00:05.7,2044,A
00:06.7,2402,N
00:07.5,2706,N
00:08.3,2998,N
00:09.1,3282,N
00:09.9,3560,N
00:10.7,3862,N
00:11.6,4170,N
00:12.4,4466,N
00:13.2,4764,N
00:14.1,5060,N
00:14.9,5346,N
00:15.6,5633,N
00:16.4,5918,N
00:17.3,6214,N
00:18.1,6527,N
00:19.0,6823,N
00:19.7,7106,N
00:20.5,7391,N
00:21.3,7670,N
00:22.1,7953,N
00:22.9,8245,N
00:23.7,8539,N
00:24.5,8837,N
00:25.4,9141,N
00:26.2,9431,N
00:27.0,9710,N
00:27.8,9998,N
00:28.6,10282,N
00:29.4,10591,N
00:30.3,10894,N
00:31.1,11191,N
00:31.9,11480,N
00:32.7,11781,N
00:33.5,12066,N
00:34.3,12350,N
00:35.1,12645,N
00:36.0,12949,N
00:36.8,13266,N
00:37.7,13562,N
00:38.5,13842,N
00:39.3,14131,N
00:40.1,14423,N
00:40.9,14710,N
00:41.7,15011,N
00:42.5,15310,N
00:43.4,15607,N
00:44.2,15899,N
00:45.0,16183,N
00:45.7,16464,N
00:46.5,16755,N
00:47.4,17058,N
00:48.2,17358,N
00:49.0,17657,N
00:49.9,17947,N
00:50.6,18227,N
00:51.4,18514,N
00:52.2,18795,N
00:53.0,19080,N
00:53.9,19388,N
00:54.7,19693,N
00:55.5,19989,N
00:56.3,20271,N
00:57.1,20554,N
00:57.9,20837,N
00:58.7,21131,N
00:59.5,21423,N
01:00.4,21729,N
01:01.2,22029,N
01:02.0,22321,N
01:02.8,22603,N
01:03.6,22881,N
01:04.3,23164,N
01:05.1,23453,N
01:06.0,23756,N
01:06.8,24053,N
01:07.6,24345,N
01:08.4,24625,N
01:09.2,24913,N
01:10.0,25197,N
01:10.8,25485,N
01:11.6,25779,N
01:12.5,26088,N
01:13.3,26387,N
01:14.1,26670,N
01:14.9,26952,N
01:15.7,27237,N
01:16.5,27536,N
01:17.3,27833,N
01:18.1,28132,N
01:19.0,28431,N
01:19.8,28727,N
01:20.6,29014,N
01:21.4,29294,N
01:22.2,29580,N
01:23.0,29873,N
01:23.8,30182,N
01:24.7,30487,N
01:25.5,30779,N
01:26.3,31065,N
01:27.1,31348,N
01:27.9,31635,N
01:28.7,31927,N
01:29.5,32224,N
01:30.4,32529,N
01:31.2,32836,N
01:32.0,33127,N
01:32.8,33403,N
01:33.6,33691,N
01:34.4,33980,N
01:35.2,34274,N
01:36.0,34575,N
01:36.9,34870,N
01:37.7,35168,N
01:38.5,35455,N
01:39.3,35736,N
01:40.0,36016,N
01:40.9,36309,N
01:41.7,36605,N
01:42.5,36916,N
01:43.4,37215,N
01:44.2,37499,N
01:45.0,37782,N
01:45.8,38071,N
01:46.5,38356,N
01:47.4,38651,N
01:48.2,38950,N
01:49.0,39252,N
01:49.9,39547,N
01:50.6,39825,N
01:51.4,40096,N
01:52.2,40382,N
01:53.0,40677,N
01:53.8,40970,N
01:54.6,41271,N
01:55.5,41567,N
01:56.2,41849,N
01:57.0,42117,N
01:57.8,42416,N
01:58.6,42697,N
01:59.4,42996,N
02:00.3,43307,N
02:01.1,43603,N
02:01.9,43892,N
02:02.7,44172,N
02:03.5,44455,N
02:04.3,44743,N
02:05.1,45030,N
02:05.9,45323,N
02:06.7,45628,N
02:07.6,45925,N
02:08.3,46204,N
02:09.1,46478,N
02:09.9,46759,N
02:10.7,47037,N
02:11.5,47334,N
02:12.3,47632,N
02:13.1,47919,N
02:13.9,48202,N
02:14.7,48486,N
02:15.5,48766,N
02:16.2,49040,N
02:17.0,49323,N
02:17.8,49618,N
02:18.7,49923,N
02:19.5,50214,N
02:20.3,50491,N
02:21.0,50771,N
02:21.8,51056,N
02:22.6,51339,N
02:23.4,51626,N
02:24.2,51921,N
02:25.0,52216,N
02:25.8,52506,N
02:26.6,52784,N
02:27.4,53063,N
02:28.2,53341,N
02:29.0,53631,N
02:29.8,53923,N
02:30.6,54219,N
02:31.4,54507,N
02:32.2,54784,N
02:33.0,55064,N
02:33.7,55343,N
02:34.5,55625,N
02:35.3,55908,N
02:36.1,56207,N
02:36.9,56502,N
02:37.7,56784,N
02:38.5,57055,N
02:39.3,57333,N
02:40.0,57615,N
02:40.8,57900,N
02:41.6,58192,N
02:42.5,58490,N
02:43.3,58788,N
02:44.1,59077,N
02:44.9,59354,N
02:45.6,59631,N
02:46.4,59919,N
02:47.3,60214,N
02:48.1,60515,N
02:48.9,60817,N
02:49.7,61105,N
02:50.5,61391,N
02:51.3,61680,N
02:52.1,61963,N
02:52.9,62247,N
02:53.7,62547,N
02:54.6,62852,N
02:55.4,63154,N
02:56.2,63438,N
02:57.0,63711,N
02:57.8,63998,N
02:58.6,64288,N
02:59.4,64581,N
03:00.2,64876,N
03:01.0,65174,N
03:01.8,65464,N
03:02.6,65750,N
03:03.4,66030,N
03:04.2,66307,N
03:05.0,66604,N
03:05.5,66792,A
03:06.5,67130,N
03:07.3,67434,N
03:08.1,67728,N
03:08.9,68007,N
03:09.7,68302,N
03:10.5,68594,N
03:11.3,68886,N
03:12.2,69191,N
03:13.1,69503,N
03:13.9,69796,N
03:14.6,70073,N
03:15.4,70357,N
03:16.2,70643,N
03:17.1,70941,N
03:17.9,71240,N
03:18.7,71539,N
03:19.6,71845,N
03:20.4,72138,N
03:21.2,72417,N
03:22.0,72703,N
03:22.8,72998,N
03:23.6,73301,N
03:24.5,73611,N
03:25.3,73911,N
03:26.1,74196,N
03:26.9,74483,N
03:27.7,74767,N
03:28.3,74986,A
03:29.3,75332,N
03:30.1,75632,N
03:30.9,75934,N
03:31.8,76233,N
03:32.5,76515,N
03:33.3,76785,N
03:34.1,77074,N
03:34.9,77366,N
03:35.7,77663,N
03:36.5,77954,N
03:37.4,78251,N
03:38.2,78539,N
03:39.0,78824,N
03:39.7,79100,N
03:40.5,79386,N
03:41.4,79689,N
03:42.2,79991,N
03:43.0,80290,N
03:43.8,80583,N
03:44.6,80868,N
03:45.4,81152,N
03:46.2,81439,N
03:47.0,81730,N
03:47.9,82030,N
03:48.7,82335,N
03:49.5,82636,N
03:50.4,82927,N
03:51.1,83209,N
03:51.9,83492,N
03:52.8,83794,N
03:53.6,84103,N
03:54.5,84407,N
03:55.3,84709,N
03:56.1,85010,N
03:57.0,85303,N
03:57.7,85580,N
03:58.5,85870,N
03:59.4,86171,N
04:00.2,86478,N
04:01.1,86780,N
04:01.9,87079,N
04:02.7,87364,N
04:03.5,87652,N
04:04.3,87941,N
04:05.1,88232,N
04:05.9,88530,N
04:06.8,88834,N
04:07.6,89135,N
04:08.4,89421,N
04:09.2,89703,N
04:10.0,89988,N
04:10.8,90286,N
04:11.6,90590,N
04:12.5,90885,N
04:13.3,91190,N
04:14.1,91481,N
04:14.9,91761,N
04:15.7,92046,N
04:16.5,92338,N
04:17.3,92633,N
04:18.2,92944,N
04:19.0,93246,N
04:19.8,93534,N
04:20.6,93824,N
04:21.4,94102,N
04:22.2,94395,N
04:23.0,94693,N
04:23.9,94996,N
04:24.7,95298,N
04:25.6,95606,N
04:26.4,95893,N
04:27.1,96171,N
04:27.9,96450,N
04:28.7,96746,N
04:29.6,97050,N
04:30.4,97348,N
04:31.2,97644,N
04:32.0,97936,N
04:32.9,98228,N
04:33.6,98508,N
04:34.4,98789,N
04:35.2,99084,N
04:36.1,99382,N
04:36.6,99579,A
04:37.6,99930,N
04:38.4,100218,N
04:39.2,100496,N
04:39.9,100781,N
04:40.8,101071,N
04:41.6,101361,N
04:42.4,101653,N
04:43.2,101941,N
04:44.0,102234,N
04:44.8,102516,N
04:45.5,102793,N
04:46.3,103074,N
04:47.1,103371,N
04:48.0,103669,N
04:48.8,103964,N
04:49.6,104261,N
04:50.4,104545,N
04:51.2,104830,N
04:52.0,105118,N
04:52.8,105407,N
04:53.6,105707,N
04:54.5,106015,N
04:55.3,106314,N
04:56.1,106600,N
04:56.9,106882,N
04:57.7,107159,N
04:58.5,107453,N
04:59.3,107750,N
05:00.1,108045,N
05:00.9,108342,N
05:01.8,108643,N
05:02.6,108926,N
05:03.3,109199,N
05:04.1,109486,N
05:04.9,109772,N
05:05.8,110076,N
05:06.6,110374,N
05:07.4,110673,N
05:08.2,110963,N
05:09.0,111244,N
05:09.8,111524,N
05:10.6,111810,N
05:11.4,112108,N
05:12.2,112405,N
05:13.1,112710,N
05:13.9,113000,N
05:14.7,113281,N
05:15.5,113562,N
05:16.2,113850,N
05:17.1,114142,N
05:17.9,114428,N
05:18.7,114716,N
05:19.4,115000,N
05:20.2,115280,N
05:21.0,115547,N
05:21.7,115815,N
05:22.5,116084,N
05:23.2,116369,N
05:24.0,116654,N
05:24.8,116939,N
05:25.6,117213,N
05:26.4,117494,N
05:27.1,117766,N
05:27.9,118044,N
05:28.7,118323,N
05:29.5,118607,N
05:30.3,118911,N
05:31.2,119215,N
05:32.0,119509,N
05:32.8,119791,N
05:33.5,120077,N
05:34.4,120376,N
05:35.2,120676,N
05:36.1,120990,N
05:36.9,121300,N
05:37.8,121604,N
05:38.6,121889,N
05:39.4,122170,N
05:40.2,122460,N
05:41.0,122750,N
05:41.8,123050,N
05:42.7,123360,N
05:43.5,123664,N
05:44.3,123936,N
05:45.1,124221,N
05:45.9,124507,N
05:46.6,124775,N
05:47.4,125060,N
05:48.2,125355,N
05:49.0,125648,N
05:49.8,125926,N
05:50.6,126203,N
05:51.3,126476,N
05:52.1,126746,N
05:52.8,127025,N
05:53.6,127313,N
05:54.5,127603,N
05:55.3,127892,N
05:55.8,128085,A
05:56.7,128423,N
05:57.5,128698,N
05:58.2,128958,N
05:59.0,129230,N
05:59.8,129519,N
06:00.6,129798,N
06:01.3,130057,N
06:02.0,130318,N
06:02.7,130568,N
06:03.4,130818,N
06:04.1,131073,N
06:04.8,131326,N
06:05.5,131584,N
06:06.3,131851,N
06:07.0,132122,N
06:07.7,132381,N
06:08.4,132629,N
06:09.1,132883,N
06:09.8,133132,N
06:10.5,133390,N
06:11.3,133662,N
06:12.0,133933,N
06:12.8,134197,N
06:13.5,134463,N
06:14.3,134737,N
06:15.0,134990,N
06:15.7,135243,N
06:16.4,135504,N
06:17.2,135780,N
06:17.9,136061,N
06:18.8,136350,N
06:19.5,136630,N
06:20.3,136899,N
06:21.0,137170,N
06:21.8,137449,N
06:22.6,137729,N
06:23.4,138008,N
06:24.2,138304,N
06:25.0,138598,N
06:25.8,138888,N
06:26.6,139164,N
06:27.3,139440,N
06:28.1,139719,N
06:28.9,140009,N
06:29.7,140302,N
06:30.6,140599,N
06:31.3,140881,N
06:32.1,141152,N
06:32.8,141423,N
06:33.6,141684,N
06:34.3,141943,N
06:35.0,142207,N
06:35.8,142479,N
06:36.5,142747,N
06:37.3,143010,N
06:38.0,143265,N
06:38.7,143515,N
06:39.4,143766,N
06:40.1,144025,N
06:40.8,144286,N
06:41.5,144557,N
06:42.3,144832,N
06:43.1,145111,N
06:43.8,145381,N
06:44.6,145647,N
06:45.3,145902,N
06:46.0,146170,N
06:46.8,146445,N
06:47.6,146737,N
06:48.4,147013,N
06:49.1,147290,N
06:49.9,147565,N
06:50.6,147832,N
06:51.4,148099,N
06:52.1,148363,N
06:52.9,148637,N
06:53.7,148916,N
06:54.5,149204,N
06:55.2,149488,N
06:56.0,149768,N
06:56.7,150030,N
06:57.5,150303,N
06:58.3,150575,N
06:59.0,150849,N
06:59.8,151122,N
07:00.6,151407,N
07:01.4,151700,N
07:02.2,151974,N
07:02.9,152237,N
07:03.6,152510,N
07:04.4,152781,N
07:05.2,153067,N
07:06.0,153362,N
07:06.8,153644,N
07:07.6,153922,N
07:08.3,154193,N
07:09.1,154470,N
07:09.8,154741,N
07:10.6,155009,N
07:11.4,155291,N
07:12.2,155588,N
07:13.0,155865,N
07:13.7,156132,N
07:14.4,156395,N
07:15.1,156648,N
07:15.8,156906,N
07:16.6,157168,N
07:17.3,157430,N
07:18.0,157695,N
07:18.8,157960,N
07:19.5,158233,N
07:20.2,158489,N
07:20.9,158730,N
07:21.6,158974,N
07:22.3,159225,N
07:23.0,159479,N
07:23.7,159738,N
07:24.4,160001,N
07:25.2,160260,N
07:25.9,160507,N
07:26.5,160755,N
07:27.2,161005,N
07:27.9,161254,N
07:28.6,161499,N
07:29.3,161764,N
07:30.1,162035,N
07:30.9,162308,N
07:31.6,162573,N
07:32.3,162835,N
07:33.0,163093,N
07:33.8,163362,N
07:34.5,163629,N
07:35.3,163899,N
07:36.1,164182,N
07:36.8,164461,N
07:37.6,164731,N
07:38.3,164991,N
07:39.0,165246,N
07:39.7,165499,N
07:40.4,165756,N
07:41.2,166032,N
07:41.9,166301,N
07:42.7,166570,N
07:43.4,166841,N
07:44.2,167111,N
07:44.9,167371,N
07:45.7,167641,N
07:46.4,167912,N
07:47.2,168191,N
07:48.0,168484,N
07:48.8,168784,N
07:49.6,169074,N
07:50.4,169349,N
07:51.2,169629,N
07:52.0,169907,N
07:52.8,170201,N
07:53.6,170495,N
07:54.2,170719,A
07:55.2,171074,N
07:56.0,171371,N
07:56.8,171652,N
07:57.6,171921,N
07:58.3,172199,N
07:59.1,172481,N
07:59.9,172776,N
08:00.7,173067,N
08:01.5,173351,N
08:02.3,173629,N
08:03.1,173907,N
08:03.8,174176,N
08:04.6,174451,N
08:05.4,174737,N
08:06.2,175023,N
08:07.0,175323,N
08:07.8,175608,N
08:08.5,175877,N
08:09.3,176145,N
08:10.1,176427,N
08:10.8,176698,N
08:11.6,176975,N
08:12.4,177248,N
08:13.1,177523,N
08:13.9,177797,N
08:14.6,178059,N
08:15.3,178316,N
08:16.1,178578,N
08:16.8,178841,N
08:17.5,179117,N
08:18.3,179388,N
08:19.1,179662,N
08:19.8,179927,N
08:20.5,180182,N
08:21.2,180443,N
08:22.0,180705,N
08:22.7,180964,N
08:23.4,181236,N
08:24.2,181523,N
08:25.0,181811,N
08:25.8,182084,N
08:26.5,182353,N
08:27.3,182624,N
08:28.0,182896,N
08:28.8,183181,N
08:29.7,183475,N
08:30.5,183778,N
08:31.3,184071,N
08:32.1,184361,N
08:32.9,184649,N
08:33.7,184933,N
08:34.5,185213,N
08:35.3,185510,N
08:36.2,185828,N
08:37.0,186137,N
08:37.9,186428,N
08:38.7,186717,N
08:39.5,187005,N
08:40.3,187291,N
08:41.0,187577,N
08:41.9,187872,N
08:42.7,188179,N
08:43.6,188481,N
08:44.3,188763,N
08:45.1,189043,N
08:45.9,189330,N
08:46.7,189624,N
08:47.6,189929,N
08:48.4,190228,N
08:49.2,190529,N
08:50.1,190820,N
08:50.9,191112,N
08:51.7,191395,N
08:52.4,191674,N
08:53.3,191977,N
08:54.1,192281,N
08:54.9,192575,N
08:55.7,192862,N
08:56.5,193146,N
08:57.3,193423,N
08:58.1,193703,N
08:58.9,193994,N
08:59.7,194281,N
09:00.5,194574,N
09:01.3,194868,N
09:02.1,195156,N
09:02.9,195426,N
09:03.6,195701,N
09:04.4,195978,N
09:05.2,196268,N
09:06.0,196560,N
09:06.8,196847,N
09:07.6,197132,N
09:08.4,197414,N
09:09.1,197685,N
09:09.9,197950,N
09:10.6,198224,N
09:11.4,198504,N
09:12.2,198791,N
09:13.0,199075,N
09:13.8,199353,N
09:14.5,199619,N
09:15.3,199894,N
09:16.0,200161,N
09:16.8,200434,N
09:17.5,200714,N
09:18.3,200993,N
09:19.1,201271,N
09:19.8,201545,N
09:20.6,201806,N
09:21.3,202067,N
09:22.1,202339,N
09:22.8,202614,N
09:23.6,202896,N
09:24.4,203182,N
09:25.2,203468,N
09:25.9,203741,N
09:26.7,204021,N
09:27.5,204299,N
09:28.3,204574,N
09:29.0,204854,N
09:29.9,205158,N
09:30.7,205459,N
09:31.5,205737,N
