Time,Sample,Type
0:00.189,68,+
0:00.378,136,/
0:01.139,410,/
0:01.936,697,/
0:02.747,989,/
0:03.625,1305,/
0:04.483,1614,/
0:05.308,1911,/
0:06.114,2201,/
0:06.914,2489,/
0:07.725,2781,/
0:08.533,3072,/
0:09.369,3373,/
0:10.256,3692,/
0:11.106,3998,/
0:11.914,4289,/
0:12.719,4579,/
0:13.517,4866,/
0:14.344,5164,/
0:15.183,5466,/
0:16.022,5768,/
0:16.900,6084,/
0:17.722,6380,/
0:18.514,6665,/
0:19.308,6951,/
0:20.117,7242,/
0:20.969,7549,/
0:21.825,7857,/
0:22.664,8159,/
0:23.536,8473,/
0:24.342,8763,/
0:25.119,9043,/
0:25.925,9333,/
0:26.750,9630,/
0:27.611,9940,/
0:28.458,10245,/
0:29.286,10543,/
0:30.125,10845,/
0:30.978,11152,/
0:31.706,11414,/
0:32.528,11710,/
0:33.383,12018,/
0:34.250,12330,/
0:35.089,12632,/
0:35.906,12926,/
0:36.731,13223,/
0:37.531,13511,/
0:38.325,13797,/
0:39.161,14098,/
0:40.022,14408,/
0:40.883,14718,/
0:41.703,15013,/
0:42.503,15301,/
0:43.389,15620,/
0:44.139,15890,/
0:44.953,16183,/
0:45.811,16492,/
0:46.675,16803,/
0:47.522,17108,/
0:48.314,17393,/
0:49.111,17680,/
0:49.942,17979,/
0:50.761,18274,/
0:51.592,18573,/
0:52.442,18879,/
0:53.289,19184,/
0:54.111,19480,/
0:54.903,19765,/
0:55.708,20055,/
0:56.553,20359,/
0:57.397,20663,/
0:58.236,20965,/
0:59.078,21268,/
0:59.908,21567,/
1:00.714,21857,/
1:01.508,22143,/
1:02.317,22434,/
1:03.178,22744,/
1:04.028,23050,/
1:04.861,23350,/
1:05.686,23647,/
1:06.511,23944,/
1:07.317,24234,/
1:08.117,24522,/
1:08.958,24825,/
1:09.828,25138,/
1:10.669,25441,/
1:11.492,25737,/
1:12.289,26024,/
1:13.103,26317,/
1:13.908,26607,/
1:14.719,26899,/
1:15.681,27245,/
1:16.450,27522,f
1:17.281,27821,f
1:18.092,28113,f
1:18.908,28407,f
1:19.725,28701,f
1:20.528,28990,f
1:20.925,29133,+
1:21.322,29276,N
1:22.172,29582,N
1:23.000,29880,N
1:23.781,30161,N
1:24.556,30440,N
1:25.322,30716,N
1:26.108,30999,N
1:26.914,31289,N
1:27.739,31586,N
1:28.561,31882,N
1:29.389,32180,N
1:30.183,32466,N
1:30.928,32734,N
1:31.694,33010,N
1:32.492,33297,N
1:33.319,33595,N
1:34.119,33883,N
1:34.606,34058,V
1:35.044,34216,+
1:35.486,34375,/
1:36.297,34667,/
1:37.083,34950,/
1:37.883,35238,/
1:38.711,35536,/
1:39.578,35848,/
1:40.425,36153,f
1:41.256,36452,f
1:42.097,36755,f
1:42.897,37043,f
1:43.683,37326,f
1:44.547,37637,f
1:45.353,37927,f
1:46.222,38240,f
1:47.056,38540,f
1:47.450,38682,+
1:47.844,38824,N
1:48.656,39116,N
1:49.447,39401,N
1:50.231,39683,N
1:51.047,39977,N
1:51.889,40280,N
1:52.747,40589,N
1:53.556,40880,N
1:54.325,41157,N
1:55.136,41449,f
1:55.922,41732,N
1:56.706,42014,N
1:57.544,42316,f
1:58.378,42616,N
1:59.211,42916,N
2:00.008,43203,N
2:00.781,43481,N
2:01.575,43767,N
2:02.378,44056,N
2:03.197,44351,N
2:04.028,44650,N
2:04.847,44945,N
2:05.678,45244,N
2:06.447,45521,N
2:07.219,45799,N
2:08.022,46088,N
2:08.833,46380,N
2:09.664,46679,N
2:10.494,46978,N
2:11.300,47268,N
2:12.114,47561,N
2:12.892,47841,N
2:13.656,48116,N
2:14.458,48405,N
2:15.303,48709,N
2:16.122,49004,N
2:16.925,49293,N
2:17.719,49579,N
2:18.494,49858,N
2:19.286,50143,N
2:20.053,50419,N
